,RE_Synch,RD_Synch,RD_Reic,RD_Reic2
VN204,2023-02-15 10:25:27.133000+00:00,2023-02-15 11:05:37.297000+00:00,2023-02-15 11:16:51.289000+00:00,2023-02-15 12:02:00.190000+00:00
VA305,2023-02-15 10:25:27.663000+00:00,2023-02-15 11:05:37.797000+00:00,2023-02-15 11:16:51.829000+00:00,2023-02-15 12:02:00.740000+00:00
VA307,2023-02-15 10:25:25.263000+00:00,2023-02-15 11:05:35.387000+00:00,2023-02-15 11:16:49.469000+00:00,2023-02-15 12:01:58.350000+00:00
VA308,,2023-02-15 11:05:37.037000+00:00,2023-02-15 11:16:51.039000+00:00,2023-02-15 12:01:59.920000+00:00
VA301,2023-02-15 10:25:28.323000+00:00,2023-02-15 11:05:38.387000+00:00,2023-02-15 11:16:52.409000+00:00,2023-02-15 12:02:01.380000+00:00
VA306,2023-02-15 10:25:27.513000+00:00,2023-02-15 11:05:37.617000+00:00,2023-02-15 11:16:51.709000+00:00,2023-02-15 12:02:00.630000+00:00
VA302,,2023-02-15 11:05:37.657000+00:00,2023-02-15 11:16:51.689000+00:00,2023-02-15 12:02:00.630000+00:00
VA303,,2023-02-15 11:05:37.557000+00:00,2023-02-15 11:16:51.649000+00:00,2023-02-15 12:02:00.550000+00:00
VA304,2023-02-15 10:25:27.203000+00:00,2023-02-15 11:05:37.297000+00:00,2023-02-15 11:16:51.379000+00:00,2023-02-15 12:02:00.300000+00:00
LS406,2023-02-15 10:25:26.783000+00:00,2023-02-15 11:05:36.897000+00:00,2023-02-15 11:16:50.889000+00:00,2023-02-15 12:01:59.840000+00:00
LS407,2023-02-15 10:25:26.183000+00:00,2023-02-15 11:05:36.337000+00:00,2023-02-15 11:16:50.419000+00:00,2023-02-15 12:01:59.310000+00:00
LS408,2023-02-15 10:25:26.403000+00:00,2023-02-15 11:05:36.537000+00:00,2023-02-15 11:16:50.559000+00:00,2023-02-15 12:01:59.480000+00:00
LS405,2023-02-15 10:25:25.883000+00:00,2023-02-15 11:05:35.927000+00:00,2023-02-15 11:16:50.069000+00:00,2023-02-15 12:01:59.010000+00:00
LS401,2023-02-15 10:25:27.273000+00:00,2023-02-15 11:05:37.437000+00:00,2023-02-15 11:16:51.539000+00:00,2023-02-15 12:02:00.440000+00:00
LS403,2023-02-15 10:25:27.483000+00:00,2023-02-15 11:05:37.567000+00:00,,2023-02-15 12:02:00.580000+00:00
LS402,2023-02-15 10:25:26.703000+00:00,2023-02-15 11:05:36.807000+00:00,2023-02-15 11:16:50.869000+00:00,2023-02-15 12:01:59.840000+00:00
LS410,2023-02-15 10:25:26.383000+00:00,2023-02-15 11:05:36.467000+00:00,2023-02-15 11:16:50.509000+00:00,2023-02-15 12:01:59.490000+00:00
LS404,2023-02-15 10:25:26.283000+00:00,2023-02-15 11:05:36.447000+00:00,2023-02-15 11:16:50.529000+00:00,2023-02-15 12:01:59.460000+00:00
WW505,2023-02-15 10:25:27.493000+00:00,2023-02-15 11:05:37.577000+00:00,2023-02-15 11:16:51.559000+00:00,2023-02-15 12:02:00.530000+00:00
WW502,2023-02-15 10:25:27.003000+00:00,2023-02-15 11:05:37.137000+00:00,,
WW503,2023-02-15 10:25:26.783000+00:00,2023-02-15 11:05:36.947000+00:00,,2023-02-15 12:01:59.900000+00:00
