,PartID,Day,DevID,Cue0_code,Cue0_ddt,Cue0_rdt,Cue0_rst,Cue0_shift,Cue1_code,Cue1_ddt,Cue1_shift,Scaling_C,Source_filename,Output_files
32,VN104,Re,14083,RE_Synch,2023-02-15 10:25:25.843000+00:00,2023-02-15 10:25:26.573000+00:00,0.0,0.73,RD_Reic2,2023-02-15 12:01:59.370000+00:00,0.67,0.9999896436143302,../Data/AX3/150223/14083_0000001505.csv,"['RG_FULL_VN104_AX3ACC.csv', 'RE_FULL_VN104_AX3ACC.csv', 'RD_FULL_VN104_AX3ACC.csv']"
33,VN104,D1,14083,C1_Synch,2023-02-16 08:33:22.084000+00:00,2023-02-16 08:33:18.524000+00:00,0.0,-3.56,C2_Reic,2023-02-16 10:27:14.427000+00:00,-3.5,1.0000087817605177,../Data/AX3/160223/14083_0000001605.csv,"['C1_FULL_VN104_AX3ACC.csv', 'C2_FULL_VN104_AX3ACC.csv']"
34,VN104,D2,14083,C3_Synch,2023-02-17 08:30:55.931000+00:00,2023-02-17 08:30:51.841000+00:00,0.0,-4.09,C4_Reic,2023-02-17 10:27:24.899000+00:00,-4.13,0.999994276694356,../Data/AX3/170223/14083_0000001705.csv,"['C3_FULL_VN104_AX3ACC.csv', 'C4_FULL_VN104_AX3ACC.csv']"
35,VN104,D3,14083,C5_Synch,2023-02-18 15:10:34.773000+00:00,2023-02-18 15:10:29.583000+00:00,0.0,-5.19,,,,0.999998439884539,../Data/AX3/180223/14083_0000001805.csv,['C5_FULL_VN104_AX3ACC.csv']
36,VN105,Re,17384,RE_Synch,2023-02-15 10:25:25.763000+00:00,2023-02-15 10:25:26.573000+00:00,0.0,0.81,RD_Reic2,2023-02-15 12:01:59.210000+00:00,0.83,1.000003452176226,../Data/AX3/150223/17384_0000001509.csv,"['RG_FULL_VN105_AX3ACC.csv', 'RE_FULL_VN105_AX3ACC.csv', 'RD_FULL_VN105_AX3ACC.csv']"
37,VN105,D1,17515,C1_Synch,2023-02-16 08:33:22.004000+00:00,2023-02-16 08:33:18.524000+00:00,0.0,-3.48,C2_Reic,2023-02-16 10:27:14.377000+00:00,-3.45,1.0000043908609793,../Data/AX3/160223/17515_0000001606.csv,"['C1_FULL_VN105_AX3ACC.csv', 'C2_FULL_VN105_AX3ACC.csv']"
38,VN105,D2,17515,C3_Synch,2023-02-17 08:30:55.921000+00:00,2023-02-17 08:30:51.841000+00:00,0.0,-4.08,C4_Reic,2023-02-17 10:27:24.879000+00:00,-4.11,0.9999957075146253,../Data/AX3/170223/17515_0000001706.csv,"['C3_FULL_VN105_AX3ACC.csv', 'C4_FULL_VN105_AX3ACC.csv']"
39,VN105,D3,17515,C5_Synch,2023-02-18 15:10:34.793000+00:00,2023-02-18 15:10:29.583000+00:00,0.0,-5.21,,,,1.0000026499597885,../Data/AX3/180223/17515_0000001806.csv,['C5_FULL_VN105_AX3ACC.csv']
40,VN106,Re,17515,RE_Synch,2023-02-15 10:25:25.773000+00:00,2023-02-15 10:25:26.573000+00:00,0.0,0.8,RD_Reic2,2023-02-15 12:01:59.250000+00:00,0.79,0.9999982739208251,../Data/AX3/150223/17515_0000001506.csv,"['RG_FULL_VN106_AX3ACC.csv', 'RE_FULL_VN106_AX3ACC.csv', 'RD_FULL_VN106_AX3ACC.csv']"
41,VN106,D1,17384,C1_Synch,2023-02-16 08:33:21.934000+00:00,2023-02-16 08:33:18.524000+00:00,0.0,-3.41,C2_Reic,2023-02-16 10:27:14.237000+00:00,-3.31,1.000014636353218,../Data/AX3/160223/17384_0000001609.csv,"['C1_FULL_VN106_AX3ACC.csv', 'C2_FULL_VN106_AX3ACC.csv']"
42,VN106,D2,17384,C3_Synch,2023-02-17 08:30:55.891000+00:00,2023-02-17 08:30:51.841000+00:00,0.0,-4.05,C4_Reic,2023-02-17 10:27:24.729000+00:00,-3.96,1.0000128776772332,../Data/AX3/170223/17384_0000001709.csv,"['C3_FULL_VN106_AX3ACC.csv', 'C4_FULL_VN106_AX3ACC.csv']"
43,VN106,D3,17384,C5_Synch,2023-02-18 15:10:34.693000+00:00,2023-02-18 15:10:29.583000+00:00,0.0,-5.11,,,,1.0000119331519108,../Data/AX3/180223/17384_0000001809.csv,['C5_FULL_VN106_AX3ACC.csv']
44,VN107,D1,14940,C1_Synch,2023-02-16 08:33:22.064000+00:00,2023-02-16 08:33:18.524000+00:00,0.0,-3.54,C2_Reic,2023-02-16 10:27:14.327000+00:00,-3.4,1.0000204910144705,../Data/AX3/160223/14940_0000001610.csv,"['C1_FULL_VN107_AX3ACC.csv', 'C2_FULL_VN107_AX3ACC.csv']"
45,VN107,D2,14940,C3_Synch,2023-02-17 08:30:55.911000+00:00,2023-02-17 08:30:51.841000+00:00,0.0,-4.07,C4_Reic,2023-02-17 10:27:24.819000+00:00,-4.05,1.0000028616773893,../Data/AX3/170223/14940_0000001710.csv,"['C3_FULL_VN107_AX3ACC.csv', 'C4_FULL_VN107_AX3ACC.csv']"
46,VN107,D3,14940,C5_Synch,2023-02-18 15:10:34.723000+00:00,2023-02-18 15:10:29.583000+00:00,0.0,-5.14,,,,1.000002210900076,../Data/AX3/180223/14940_0000001810.csv,['C5_FULL_VN107_AX3ACC.csv']
47,VN108,Re,14357,RE_Synch,2023-02-15 10:25:25.773000+00:00,2023-02-15 10:25:26.573000+00:00,0.0,0.8,RD_Reic2,2023-02-15 12:01:59.240000+00:00,0.8,1.0,../Data/AX3/150223/14357_0000001512.csv,"['RG_FULL_VN108_AX3ACC.csv', 'RE_FULL_VN108_AX3ACC.csv', 'RD_FULL_VN108_AX3ACC.csv']"
48,VN108,D1,14357,C1_Synch,2023-02-16 08:33:22.024000+00:00,2023-02-16 08:33:18.524000+00:00,0.0,-3.5,C2_Reic,2023-02-16 10:27:14.257000+00:00,-3.33,1.0000248820553983,../Data/AX3/160223/14357_0000001612.csv,"['C1_FULL_VN108_AX3ACC.csv', 'C2_FULL_VN108_AX3ACC.csv']"
49,VN108,D2,14357,C3_Synch,2023-02-17 08:30:55.901000+00:00,2023-02-17 08:30:51.841000+00:00,0.0,-4.06,C4_Reic,2023-02-17 10:27:24.799000+00:00,-4.03,1.000004292522226,../Data/AX3/170223/14357_0000001712.csv,"['C3_FULL_VN108_AX3ACC.csv', 'C4_FULL_VN108_AX3ACC.csv']"
50,VN108,D3,14357,C5_Synch,2023-02-18 15:10:34.723000+00:00,2023-02-18 15:10:29.583000+00:00,0.0,-5.14,,,,1.0000049738354266,../Data/AX3/180223/14357_0000001812.csv,['C5_FULL_VN108_AX3ACC.csv']
