devID,s_corr0,s_corr_offset,s_offset_samples,s_offset_time,Length_xcorr_samples,Length_xcorr_time,auto_offset_time,Full_CCC
BR606,0.06177890443353652,0.28326201125480455,-263,-1.0520000000012857,20481,81.92400000010012,-1.0520000000012857,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x263791c70>, <matplotlib.lines.Line2D object at 0x263791bb0>)"
LS405,0.03655002982765622,0.4445809654350188,-56,-0.22400000000027376,20481,81.92400000010012,-0.22400000000027376,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x265b51700>, <matplotlib.lines.Line2D object at 0x265b51640>)"
VN206,0.03828241488700284,0.5988041533716116,-160,-0.6400000000007822,20481,81.92400000010012,-0.6400000000007822,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x267fcfc10>, <matplotlib.lines.Line2D object at 0x267fcfb50>)"
LS406,0.14287346308376145,0.3226811147677002,-21,-0.08400000000010266,20481,81.92400000010012,-0.08400000000010266,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x26a35a730>, <matplotlib.lines.Line2D object at 0x26a35a670>)"
BR607,0.009055372160702728,0.47547109673061666,-100,-0.40000000000048885,20481,81.92400000010012,-0.40000000000048885,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x26c7e4250>, <matplotlib.lines.Line2D object at 0x26c7e4190>)"
VA305,0.030948347991382557,0.3324478189515617,331,1.324000000001618,20481,81.92400000010012,1.324000000001618,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x26eba2760>, <matplotlib.lines.Line2D object at 0x26eba26a0>)"
PC703,0.00799955707364037,0.3538747999096489,-32,-0.12800000000015643,20481,81.92400000010012,-0.12800000000015643,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x270edf8e0>, <matplotlib.lines.Line2D object at 0x270edf820>)"
PC707,0.04306259682625039,0.2128067460474344,-4515,-18.06000000002207,20481,81.92400000010012,-18.06000000002207,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x273468370>, <matplotlib.lines.Line2D object at 0x2734682b0>)"
WW502,0.01132457251697073,0.618799216585812,-31,-0.12400000000015154,20481,81.92400000010012,-0.12400000000015154,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x2757a52e0>, <matplotlib.lines.Line2D object at 0x2757a5220>)"
VN102,0.16622143194004316,0.3922396459969567,202,0.8080000000009875,20481,81.92400000010012,0.8080000000009875,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x277c9fd30>, <matplotlib.lines.Line2D object at 0x277c9fc70>)"
LS410,0.007516945309284795,0.41106724188267707,-105,-0.4200000000005133,20481,81.92400000010012,-0.4200000000005133,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x279fe91f0>, <matplotlib.lines.Line2D object at 0x279fe9130>)"
WW507,0.01134250963116509,0.39257448562868935,52,0.2080000000002542,20481,81.92400000010012,0.2080000000002542,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x27c4a2700>, <matplotlib.lines.Line2D object at 0x27c4a2640>)"
VN105,0.187878118215048,0.3949928791039709,173,0.6920000000008457,20481,81.92400000010012,0.6920000000008457,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x27e7e0b80>, <matplotlib.lines.Line2D object at 0x27e7e0ac0>)"
WW504,0.007069252423525497,0.24995887930399724,-849,-3.3960000000041504,20481,81.92400000010012,-3.3960000000041504,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x280c9bf70>, <matplotlib.lines.Line2D object at 0x280c9beb0>)"
VN107,0.06790501699748241,0.1290585731917874,-165,-0.6600000000008066,20481,81.92400000010012,-0.6600000000008066,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x28309abe0>, <matplotlib.lines.Line2D object at 0x28309ab20>)"
VN202,0.07402850571974653,0.10632384653259902,360,1.4400000000017599,20481,81.92400000010012,1.4400000000017599,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x285963160>, <matplotlib.lines.Line2D object at 0x2859630a0>)"
VN203,0.02843103271537286,0.5353080379658546,-232,-0.9280000000011341,20481,81.92400000010012,-0.9280000000011341,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x287cd3bb0>, <matplotlib.lines.Line2D object at 0x287cd3af0>)"
VN204,0.020161580930988906,0.2671390303288629,342,1.3680000000016719,20481,81.92400000010012,1.3680000000016719,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x28a0136a0>, <matplotlib.lines.Line2D object at 0x28a0135e0>)"
