devID,s_corr0,s_corr_offset,s_offset_samples,s_offset_time,Length_xcorr_samples,Length_xcorr_time,auto_offset_time,Full_CCC,dt_offset,synch_dev_time
WW501,0.07957112118401456,,-33,,20481,81.92399999980907,-0.13199999999969236,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x15a8fc5b0>, <matplotlib.lines.Line2D object at 0x15a8fc4f0>)",,
VN108,0.02112590327385021,0.5366940246861933,-233,-0.9319999999978279,20481,81.92399999980907,-0.9319999999978279,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x15cc3aac0>, <matplotlib.lines.Line2D object at 0x15cc3aa00>)",,2023-02-15 10:25:25.641000+00:00
VN203,0.0203648380194594,0.44696169292375537,-150,-0.5999999999986017,20481,81.92399999980907,-0.5999999999986017,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x15ef67d90>, <matplotlib.lines.Line2D object at 0x15ef67cd0>)",,2023-02-15 10:25:25.973000+00:00
VN103,0.0458505685012926,0.36760004820548914,-30,-0.1171875,20481,81.92399999980907,-0.8799999999979491,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x1612b52e0>, <matplotlib.lines.Line2D object at 0x1612b5220>)",2023-02-15 10:25:54.882812500+00:00,2023-02-15 10:25:26.455812500+00:00
WW506,0.01896588035287971,0.35260710754733565,-555,-2.16796875,20481,81.92399999980907,6.527999999984786,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x1635f1910>, <matplotlib.lines.Line2D object at 0x1635f1850>)",2023-02-15 10:25:52.832031250+00:00,2023-02-15 10:25:24.405031250+00:00
LS401,0.1190744532600326,0.4030658501123623,-182,-0.7279999999983033,20481,81.92399999980907,-0.7279999999983033,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x165931550>, <matplotlib.lines.Line2D object at 0x165931490>)",,2023-02-15 10:25:25.845000+00:00
WW505,0.006311410445325538,0.3892412644647779,-223,-0.8919999999979211,20481,81.92399999980907,-0.8919999999979211,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x167c71a00>, <matplotlib.lines.Line2D object at 0x167c71940>)",,2023-02-15 10:25:25.681000+00:00
WW502,0.008551310375561007,0.41137080666710085,-114,-0.4453125,20481,81.92399999980907,-1.2079999999971847,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x169fb0eb0>, <matplotlib.lines.Line2D object at 0x169fb0df0>)",2023-02-15 10:25:54.554687500+00:00,2023-02-15 10:25:26.127687500+00:00
VA302,0.08068675490752657,,-2083,,20481,81.92399999980907,-8.331999999980582,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x16c2d9fa0>, <matplotlib.lines.Line2D object at 0x16c2d9f40>)",,
VA303,0.07699035093046368,,-4258,,20481,81.92399999980907,-17.031999999960306,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x16e619d30>, <matplotlib.lines.Line2D object at 0x16e619c70>)",,
